SubCon #,Field Office,Races,Ballot Number - General,Ballot Number - Women,Number of Ballots,Component Ballot,A4 Ballot,A3 Ballot,A3 Folded Ballot,Ballot Size for General,Ballot Size for Women,Ballot Size for Consultation,R&R Form Size - General,R&R Form Size - Women,R&R Form Size - Consultation,R&R Form A3 Size,R&R Form A3 folded Size,Screens Per Station,Ballot Boxes Per Station,
1,Sirt,1,1,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
2,Sirt,1,2,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
3,Sirt,1,3,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
4,Misrata,1,4,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
5,Misrata,1,5,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
6,Elkhomes,1,6,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
7,Elkhomes,1,7,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
8,Tripoli,2,8,48,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
9,Tripoli,1,9,,1,,0,1,0,A3,,,A3 folded,,,0,1,3,1,
10,Tripoli,2,10,49,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
11,Azizia,1,11,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
12,Zawya,1,12,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
13,Zawya,1,13,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
14,Zawya,,,,,,,,,,,,,,,,,,,
15,Zawya,1,15,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
16,Ghiryan,2,16,,1,54,1,0,0,A4,,,A3,,,1,0,3,1,
17,Sebha,2,17,50,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
18,Sebha,2,18,50,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
19,Sebha,2,19,50,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
20,Sebha,2,20,50,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
21,Sebha,2,21,50,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
22,Sebha,2,22,51,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
23,Sebha,2,23,51,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
24,Sebha,2,24,51,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
25,Sebha,2,25,51,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
26,Obari,2,26,,1,55,1,0,0,A4,,,A3,,,1,0,3,1,
27,Obari,2,27,,1,55,1,0,0,A4,,,A3,,,1,0,3,1,
28,Obari,2,28,,1,55,1,0,0,A4,,,A3,,,1,0,3,1,
29,Obari,2,29,,1,56,1,0,0,A4,,,A3,,,1,0,3,1,
30,Obari,2,30,,1,56,1,0,0,A4,,,A3,,,1,0,3,1,
31,Obari,2,31,,1,56,1,0,0,A4,,,A3,,,1,0,3,1,
33,Obari,1,33,,1,,1,0,0,A4,,,A3,,,1,0,3,1,
34,Ghadames,2,34,,1,57,1,0,0,A4,,,A3,,,1,0,3,1,
35,Tubruk,2,35,52,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
36,Derna,2,36,52,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
37,Derna,2,37,52,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
38,Al-Baida,2,38,52,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
39,Al-Baida,2,39,52,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
40,Al-Baida,2,40,52,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
41,Al-Baida,2,41,52,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
42,Benghazi,2,42,53,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
43,Benghazi,2,43,53,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
44,Benghazi,2,44,53,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
45,Ajdabya,2,45,53,2,,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
46,Ajdabya,2,46,53,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,
47,Kufra,3,47,53,2,58,1,1,0,A3,A4,,A3 folded,A3,,1,1,3,2,
Special Voting,,1,Matrix,Matrix,,,,,,,,,,,,,,3,0,
OCV Voting,,1,Matrix,Matrix,2,,2,0,0,A4,A4,,A3,A3,,2,0,3,2,